date_day,observers_day,date_night,observers_night,site_id,round,plot_id,transect_id,transect_section,burrow_code,location_m,location_side,row_alley,diameter_cm,species_guess,substrate,notes_hole,powder_active_field,powder_species_guess_field,notes_powder,photo_number,photo_location,powder_active_photo1,powder_species_guess_photo1,notes_extra_photo1,powder_active_photo2,powder_species_guess_photo2,notes_extra_photo2
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s1,bates_57b__p1_t1_rod-s1,6,l,r,2.5,dm,mulch,none,y,dm,Hopping. Possible continuous trail. ,2667-2674,Robin Glover ,y,unknown,none,y,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,21,r,r,2,dm,mulch,Connected to 2.2,y,dm,Hopping. Prints far apart.,2675-2677,Robin Glover ,y,dm,none,y,B,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,21,r,r,2,dm,mulch,Connected to 2.1,y,dm,Hopping. Prints far apart.,2675-2677,Robin Glover ,y,dm,none,y,B,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,22,l,r,2,dm,bare,none,y,v?,Continuous dispersed. Tracks not distinct.,2678-2681,Robin Glover ,y,unknown,Somewhat continuous trail but maybe potential hopping? We think more likely deer mouse.,y,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,22.5,l,r,2,dm,bare,none,n,na,Powder likely from us. Not distinct,2683,Robin Glover ,n,na,none,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,23,r,r,3,v,dry_rooted,none,unknown,unknown,Possible tracks. Unclear. Two possible hops.,2684-2685,Robin Glover ,y,unknown,Not enough tracks to clearly distinguish.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,23,r,r,2,unknown,dry_rooted,none,n,na,No tracks.,2686,Robin Glover ,n,na,none,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,25,r,r,2,dm,dry_rooted,Connected with 2.8.,unknown,dm?,Possible tracks. Unclear. ,2687,Robin Glover ,unknown,unknown,Very faint tracks.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,25,r,r,2,dm,dry_rooted,Connected to 2.7.,n,na,No tracks.,2688,Robin Glover ,n,na,none,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,27,l,r,2,dm,mulch,none,y,v?,Dispersed continuous. Unclear.,2689-2691,Robin Glover ,y,unknown,Very short continuous trail.,,,short continuous trail
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s2,bates_57b__p1_t1_rod-s2,29,l,r,1.5,dm,mulch,none,n,na,No tracks.,2692,Robin Glover ,n,na,none,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s3,bates_57b__p1_t1_rod-s3,41,l,r,2.5,dm,bare,Excess powder near hole.,unknown,dm?,Too unclear.,2693-2695,Robin Glover ,unknown,unknown,Powder on grass is likely from spill during application of powder. We see ~5 prints that look like they could be hopping (dm) in 2694.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s3,bates_57b__p1_t1_rod-s3,40,r,r,3,v?,mulch,none,y,dm,Hopping distinct. Into next hole.,2696-2699,Robin Glover ,y,dm,Clear V-pattern.,y,B,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s3,bates_57b__p1_t1_rod-s3,41,r,r,3.5,v,mulch,none,y,dm?,Connects to previous hole (3.2). Vole-like smear. Saw a rodent (likely deer mouse at hole).,2700-2702.,Robin Glover ,y,dm,"Clearing hopping, so guessing deermouse. There is a continuous track but we assume deer mice and vole would not occupy same burrow.",y,unknown,possibly deer mouse?
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s3,bates_57b__p1_t1_rod-s3,44,r,r,2.5,dm?,dry_rooted,none,unknown,dm?,Little activity. Possible hopping.,2703,Robin Glover ,unknown,unknown,Three possible hops. Potentially dm but tracks is too short to be sure.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s3,bates_57b__p1_t1_rod-s3,46,r,r,3.5,v?,dry_rooted,none,n,na,No tracks.,2704,Robin Glover ,n,na,none,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,61,l,r,3.5,v ,mulch,ABP-D,y,unknown,Possible hops. Unclear.,2705-2707,Robin Glover ,y,unknown,Not enough tracks to clearly distinguish.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,61.5,l,r,2,dm ,mulch,none,n,na,Too unclear.,2708,Robin Glover ,n,na,Dispersed. Possible insect trail.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,62,l,r,2,dm,mulch,none,y,dm?,Somewhat continuous trail. Possible hopping.,2709-2710,Robin Glover ,y,unknown,Not enough tracks to clearly distinguish.,y,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,61,r,r,3,v,dry_rooted,none,n,na,No tracks.,2712,Robin Glover ,n,na,none,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,62,l,r,2,dm,mulch,ABP-D,n,na,No tracks.,2711,Robin Glover ,n,na,Too dispersed.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,65,r,r,2,dm,mulch,Top hole. Connected to 4.7.,y,v,Hopping (?) unclear.,2713-2716,Robin Glover ,y,unknown,Hopping? ,y,unknown,possibly species A (vole)
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,65,r,r,2,dm,mulch,Bottom hole. Connected to 4.6.,y,v?,Continuous tracks. No hopping pattern.,2717-2720,Robin Glover ,y,unknown,Walking. Prints seem too far apart to be a deer mouse? Do deer mice walk?,y,unknown,possibly species A (vole)
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t1,rod-s4,bates_57b__p1_t1_rod-s4,67,l,r,3.5,v,mulch,Vole spotted running from hole.,y,v,Continuous runway. Distinct.,2721-2722,Robin Glover ,y,v,none,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,80,l,r,3.5,v,mulch,none,y,dm?,Possible hopping. Tracks not distinct.,2724-2725,Robin Glover ,y,unknown,Maybe deer mouse. Too sparse to tell for sure.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,83,r,r,3.5,v,bare,none,y,v,Continuous tracks.,2726-2729,Robin Glover ,y,v,none,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,83.5,r,r,3.5,v,mulch,none,n,na,No tracks.,2730,Robin Glover ,n,na,none,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,86,l,r,3.5,v,mulch,none,y,v?,One continuous trail and one hopping.,2731-2734,Robin Glover ,y,unknown,"Probably vole, although the hoping track is making us unsure.",y,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,89,r,r,1.5,dm,dry_rooted,none,y,dm,Small tracks. Mouse walking?,2735-2736,Robin Glover ,y,unknown,Deer mouse if they sometimes walk. ,y,unknown,"continuous small tracks, possibly mouse walking"
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s1,bates_57b__p1_t2_rod-s1,7,r,r,3,v,mulch,none,y,v,Continuous tracks. Runway?,2737-2739,Robin Glover ,y,v,none,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s2,bates_57b__p1_t2_rod-s2,22,r,r,2.5,dm,mulch,Connected to 2.2 and 2.3.,y,unknown,,"2740, 2741",Robin Glover ,unknown,unknown,Maybe a frog or a deer mouse,y,unknown,frog?
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s2,bates_57b__p1_t2_rod-s2,22,r,r,1.5,dm,mulch,Connected to 2.1 and 2.3.,y,unknown,,"2740, 2741",Robin Glover ,unknown,unknown,Maybe a frog or a deer mouse,y,unknown,frog?
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s2,bates_57b__p1_t2_rod-s2,22,r,r,2.5,dm,mulch,Connected to 2.1 and 2.2.,y,unknown,Huge hops. Really far apart (17cm).,"2740, 2742-2745",Robin Glover ,unknown,unknown,Maybe a frog or a deer mouse,n,na,frog
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s2,bates_57b__p1_t2_rod-s2,23,r,r,3.5,v,bare,none,unknown,unknown,Ring around hole.,2747-2748,Robin Glover ,unknown,unknown,Too faint to tell.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s2,bates_57b__p1_t2_rod-s2,24,r,r,2.5,dm,mulch,none,y,dm?,Continuous tracks but v-shaped prints.,2749-2751,Robin Glover ,y,unknown,none,y,unknown,possible hops
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s2,bates_57b__p1_t2_rod-s2,28,l,r,3,v,mulch,none,unknown,unknown,Continuous unclear.,2752-2753,Robin Glover ,y,unknown,Very short continuous trail.,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s3,bates_57b__p1_t2_rod-s3,45,r,r,2.5,dm,mulch,none,unknown,unknown,Very faint trail.,2754-2756,Robin Glover ,y,unknown,"Short trail. Looks like one clear print, maybe deer mouse?",unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,81,r,r,3,dm?,dry_rooted,Connected to 5.2. Top,y,v,Continuous trail.,2757-2758,Robin Glover ,y,v,none,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,81,r,r,4.5,?,dry_rooted,Connected to 5.1. Bottom,y,v,Faint trail.,2759-2760,Robin Glover ,y,v,5.2 is bottom hole in photo. Top hole is 5.1.,y,A,vole since connected to hole above and faint tracks in notes
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,87,l,r,2.5,dm?,mulch,Potential runway,y,v,Continuous tracks in 3 ways.,2761-2765,Robin Glover ,y,v,none,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Robin Glover, Annabelle Damude",bates_57b,,p1,t2,rod-s5,bates_57b__p1_t2_rod-s5,88,l,r,2,dm ,mulch,none,y,dm,"Hopping, spread apart.",2766-2770,Robin Glover ,y,dm,none,y,B,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,0,r,r,3,v,bare,Distinct.,n,na,none,9219,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,1,r,r,5,v,mulch,Under branches (UB).,y,v,none,9220,Natalia Clermont ,y,v,Continuous track.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,2,r,r,3,v,dry_rooted,none,n,na,none,9221,Natalia Clermont ,unknown,unknown,Short trail. ,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,2,l,r,2,dm,bare,"UB, sprinkled excess powder.",y,dm,none,9222-9224,Natalia Clermont ,y,,check with Natalia ,y,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,3,l,r,3,v,mulch,none,n,na,none,9225,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,3,r,r,3,v,bare,none,y,dm ,none,9226,Natalia Clermont ,,,check with Natalia ,n,na,no tracks visible in photo
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,4,l,r,3.5,v,mulch,Connected to 1.8.,n,na,none,9227,Natalia Clermont ,,,check with Natalia ,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,4,l,r,3.5,v,mulch,Connected to 1.7.,n,na,none,9228,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,4.5,l,r,2.5,?,bare,Connected to 1.10.,y,v,none,9229,Natalia Clermont ,y,v,Continuous tracks.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,4.7,l,r,2.5,v,mulch,Runway. Connected to 1.9.,y,v,none,9230-9233,Natalia Clermont ,y,v,Continuous tracks.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,5,r,r,3,v,dry_rooted,none,y,v,none,9234,Natalia Clermont ,y,v,Continuous tracks.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,6,l,r,3,v,mulch,Connected to 1.13.,y,v,none,9235,Natalia Clermont ,y,v,Continuous tracks.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,6.5,l,r,3.5,v,mulch,Connected to 1.12.,y,v,none,9236,Natalia Clermont ,y,v,Continuous tracks.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s1,bates_57b__p2_t1_rod-s1,6.5,l,r,2.5,?,bare,none,n,na,none,9237,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,21,l,r,3,v,dry_forb,Connected to 2.2.,y,v,none,9239,Natalia Clermont ,y,v,Continuous tracks.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,21.5,l,r,3,?,mulch,Connected to 2.1.,y,v,none,9238,Natalia Clermont ,y,v,Continuous tracks.,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,23,r,r,3,v,mulch,none,n,na,none,9241,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,23,r,r,3,v,dead_leaf,none,n,na,none,9240,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,23.5,r,r,3.5,v,dry_rooted,none,y,dm ,none,"9241, 9242",Natalia Clermont ,y,dm,Hopping tracks.,y,B,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,26,r,r,2.5,v,dead_leaf,none,y,dm ,none,9244,Natalia Clermont ,y,dm,Hopping tracks.,y,B,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,26.5,r,r,4,v,mulch,ABP-D,y,v,none,9245,Natalia Clermont ,,,,unknown,unknown,no clear tracks in photo
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,27,r,r,2,dm ,dry_rooted,none,n,na,none,9246,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,27.5,r,r,4,v,mulch,none,y,v?,none,9247,Natalia Clermont ,y,v,Continuous trail and alternating tracks.,y,A,continuous trail with possible hops?
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,28,l,r,2,dm,mulch,none,n,na,none,9248,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s2,bates_57b__p2_t1_rod-s2,30,l,r,2.5,dm ,mulch,ABP-D,n,na,none,9250,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,42,r,r,3,v,bare,none,n,na,none,9252,Natalia Clermont ,n,na,No tracks. Possible ant trail. ,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,42.2,r,r,2,dm ,dry_rooted,none,n,na,none,9252,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,41,r,r,2,dm ,dry_rooted,none,n,na,none,9252,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,46,r,r,3,v,dry_rooted,none,n,na,none,9253,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,48,l,r,2,dm ,mulch,ABP-D,y,dm ,none,9254,Natalia Clermont ,,,,y,unknown,unclear hopping
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,49,l,r,2.5,?,mulch,none,n,na,none,9255,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,49.7,l,r,3,v,mulch,none,y,dm ,none,9256,Natalia Clermont ,y,dm,Possible hopping.,y,B,hopping track is faint
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s3,bates_57b__p2_t1_rod-s3,49.8,l,r,4,v,mulch,ABP-D,y,dm ,none,9257,Natalia Clermont ,n,na,No tracks.,y,unknown,unclear hopping
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s4,bates_57b__p2_t1_rod-s4,67,l,r,3.5,v,mulch,Runway possibly.,n,na,none,9258,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s4,bates_57b__p2_t1_rod-s4,68,r,r,3.5,v,bare,Runway. ,n,na,none,9259,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s4,bates_57b__p2_t1_rod-s4,68,l,r,3,v,mulch,none,n,na,none,9260,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s4,bates_57b__p2_t1_rod-s4,68.5,l,r,3.5,v,mulch,none,n,na,none,9261,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,80,l,r,3.5,v,mulch,Runway. ,y,dm ,none,9262,Natalia Clermont ,y,dm,Possible hopping.,y,unknown,tracks too faint in photo
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,82,r,r,2,dm ,mulch,ABP-D,n,na,none,9263,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,82.1,r,r,1.5,dm ,grass,none,n,na,none,9263,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,82.4,r,r,2.5,dm ,bare,none,n,na,none,9263,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,85,l,r,3,v,mulch,none,n,na,none,9266,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,86,l,r,3.5,v,mulch,Full of leaves.,y,dm ,none,9270,Natalia Clermont ,y,dm,Possible hopping.,y,B,hopping track behind bush
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,88,l,r,2.5,dm ,mulch,none,y,dm ,none,9268,Natalia Clermont ,,,,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,88.1,l,r,2.5,dm ,mulch,none,y,dm ,none,9268,Natalia Clermont ,,,,unknown,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t1,rod-s5,bates_57b__p2_t1_rod-s5,89,l,r,1.5,dm ,mulch,none,y,dm ,none,9269,Natalia Clermont ,y,dm,Possible hopping.,y,unknown,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t2,rod-s1,bates_57b__p2_t2_rod-s1,4,r,r,2.5,v,mulch,Runway. ,y,v,none,9272,Natalia Clermont ,y,v,Alternating tracks. Continuous. ,y,A,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t2,rod-s1,bates_57b__p2_t2_rod-s1,4,r,r,2,dm ,bare,none,n,na,none,9273,Natalia Clermont ,n,na,No tracks.,n,na,
23-Jul-24,"Robin Glover, Annabelle Damude",25-Jul-24,"Natalia Clermont, Mary",bates_57b,,p2,t2,rod-s1,bates_57b__p2_t2_rod-s1,4,r,r,2,dm ,mulch,none,y,dm ,none,9274,Natalia Clermont ,y,dm,Hopping tracks.,y,B,
